IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.142.88,4,4,0.00,194.10,0.00
104.18.247.249,4,4,0.00,194.30,0.00
172.65.126.203,4,4,0.00,194.64,0.00
104.19.180.125,4,4,0.00,194.71,0.00
104.18.217.76,4,4,0.00,195.35,0.00
104.16.17.47,4,4,0.00,195.37,0.00
104.16.72.161,4,4,0.00,195.61,0.00
104.21.93.180,4,4,0.00,195.99,0.00
104.16.77.97,4,4,0.00,196.36,0.00
104.16.175.90,4,4,0.00,196.48,0.00
104.21.123.123,4,4,0.00,196.49,0.00
104.19.188.43,4,4,0.00,196.54,0.00
172.64.93.110,4,4,0.00,196.76,0.00
172.65.242.56,4,4,0.00,196.98,0.00
104.17.69.92,4,4,0.00,197.93,0.00
104.16.179.69,4,4,0.00,198.17,0.00
104.16.177.44,4,4,0.00,198.20,0.00
104.20.8.107,4,4,0.00,198.54,0.00
198.41.219.33,4,4,0.00,198.68,0.00
104.17.70.72,4,4,0.00,198.71,0.00
104.18.106.103,4,4,0.00,199.30,0.00
141.101.121.109,4,4,0.00,199.35,0.00
141.101.120.87,4,4,0.00,199.38,0.00
104.26.6.57,4,4,0.00,199.85,0.00
172.67.74.199,4,4,0.00,204.32,0.00
104.21.55.65,4,4,0.00,209.05,0.00
104.22.62.102,4,4,0.00,209.26,0.00
104.26.5.89,4,4,0.00,210.48,0.00
188.114.96.85,4,4,0.00,211.76,0.00
188.114.98.128,4,4,0.00,213.26,0.00
172.64.78.171,4,4,0.00,213.96,0.00
104.21.92.153,4,4,0.00,214.92,0.00
104.26.7.135,4,4,0.00,217.05,0.00
188.114.97.211,4,4,0.00,220.15,0.00
104.26.0.165,4,4,0.00,221.56,0.00
104.23.136.60,4,4,0.00,229.83,0.00
104.16.110.0,4,4,0.00,234.98,0.00
104.16.128.101,4,4,0.00,235.13,0.00
104.16.109.126,4,4,0.00,235.83,0.00
104.16.105.169,4,4,0.00,236.00,0.00
104.16.98.11,4,4,0.00,236.45,0.00
104.18.113.230,4,4,0.00,236.78,0.00
172.67.134.3,4,4,0.00,237.18,0.00
172.65.177.116,4,4,0.00,237.86,0.00
104.16.108.197,4,4,0.00,237.92,0.00
104.16.107.170,4,4,0.00,238.07,0.00
172.65.178.80,4,4,0.00,238.22,0.00
104.20.62.95,4,4,0.00,238.36,0.00
104.16.131.84,4,4,0.00,238.39,0.00
104.16.111.25,4,4,0.00,239.14,0.00
